Idade,Genero,Estado,UF,Regiao,Nivel de Ensino,Area de Formacao,Cargo,Nivel,Faixa Salarial,Tempo de Experiencia,Forma de Trabalho
28.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial
34.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Outras Engenharias,,,Acima de R$ 40.001/mês,de 4 a 5 anos,Modelo 100% remoto
45.0,Masculino,Rio de Janeiro,RJ,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
45.0,Masculino,Fora do Brasil,Exterior,Exterior,Mestrado,Outras Engenharias,,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,Modelo 100% remoto
31.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo 100% remoto
35.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,Modelo 100% presencial
50.0,Masculino,Bahia,BA,Nordeste,Mestrado,Estatística/ Matemática / Matemática Computacional,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial
35.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,,,Acima de R$ 40.001/mês,de 4 a 5 anos,Modelo 100% remoto
31.0,Feminino,Minas Gerais,MG,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
41.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,Modelo 100% remoto
36.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,Modelo 100% remoto
34.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
40.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,Modelo 100% remoto
42.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,Modelo 100% remoto
29.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo 100% remoto
29.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% presencial
32.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto
26.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Outras Engenharias,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
38.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Química / Física,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% remoto
43.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Ciências Sociais,,,de R$ 3.001/mês a R$ 4.000/mês,Mais de 10 anos,Modelo 100% presencial
29.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
36.0,Feminino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% remoto
46.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
34.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35.0,Masculino,Paraná,PR,Sul,Pós-graduação,Outras Engenharias,,,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,Modelo 100% remoto
